sampleType,AmpC_phtype,ESBL_phtype,amp_tx
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,1
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,0,0
broilers,1,1,0
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,1,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,1
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
broilers,0,0,0
