micro,year,name,num,ast
Klebsiella pneumoniae|Carbapenems,2005,Austria,0,I
Klebsiella pneumoniae|Carbapenems,2005,Belgium,0,I
Klebsiella pneumoniae|Carbapenems,2005,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2005,Cyprus,0,I
Klebsiella pneumoniae|Carbapenems,2005,Czechia,0,I
Klebsiella pneumoniae|Carbapenems,2005,Germany,0,I
Klebsiella pneumoniae|Carbapenems,2005,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2005,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2005,Greece,26,I
Klebsiella pneumoniae|Carbapenems,2005,Spain,0,I
Klebsiella pneumoniae|Carbapenems,2005,Finland,0,I
Klebsiella pneumoniae|Carbapenems,2005,France,0,I
Klebsiella pneumoniae|Carbapenems,2005,Croatia,0,I
Klebsiella pneumoniae|Carbapenems,2005,Hungary,0,I
Klebsiella pneumoniae|Carbapenems,2005,Ireland,0,I
Klebsiella pneumoniae|Carbapenems,2005,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2005,Italy,0,I
Klebsiella pneumoniae|Carbapenems,2005,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2005,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2005,Malta,0,I
Klebsiella pneumoniae|Carbapenems,2005,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2005,Norway,0,I
Klebsiella pneumoniae|Carbapenems,2005,Poland,0,I
Klebsiella pneumoniae|Carbapenems,2005,Portugal,0,I
Klebsiella pneumoniae|Carbapenems,2005,Romania,0,I
Klebsiella pneumoniae|Carbapenems,2005,Sweden,0,I
Klebsiella pneumoniae|Carbapenems,2005,Slovenia,0,I
Klebsiella pneumoniae|Carbapenems,2005,Slovakia,0,I
Klebsiella pneumoniae|Carbapenems,2005,United Kingdom,0,I
Klebsiella pneumoniae|Carbapenems,2006,Austria,0,I
Klebsiella pneumoniae|Carbapenems,2006,Belgium,0,I
Klebsiella pneumoniae|Carbapenems,2006,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2006,Cyprus,0,I
Klebsiella pneumoniae|Carbapenems,2006,Czechia,0,I
Klebsiella pneumoniae|Carbapenems,2006,Germany,1,I
Klebsiella pneumoniae|Carbapenems,2006,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2006,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2006,Greece,37,I
Klebsiella pneumoniae|Carbapenems,2006,Spain,0,I
Klebsiella pneumoniae|Carbapenems,2006,Finland,0,I
Klebsiella pneumoniae|Carbapenems,2006,France,0,I
Klebsiella pneumoniae|Carbapenems,2006,Croatia,0,I
Klebsiella pneumoniae|Carbapenems,2006,Hungary,2,I
Klebsiella pneumoniae|Carbapenems,2006,Ireland,0,I
Klebsiella pneumoniae|Carbapenems,2006,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2006,Italy,2,I
Klebsiella pneumoniae|Carbapenems,2006,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2006,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2006,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2006,Malta,0,I
Klebsiella pneumoniae|Carbapenems,2006,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2006,Norway,1,I
Klebsiella pneumoniae|Carbapenems,2006,Poland,0,I
Klebsiella pneumoniae|Carbapenems,2006,Portugal,0,I
Klebsiella pneumoniae|Carbapenems,2006,Romania,0,I
Klebsiella pneumoniae|Carbapenems,2006,Sweden,0,I
Klebsiella pneumoniae|Carbapenems,2006,Slovenia,0,I
Klebsiella pneumoniae|Carbapenems,2006,Slovakia,0,I
Klebsiella pneumoniae|Carbapenems,2006,United Kingdom,0,I
Klebsiella pneumoniae|Carbapenems,2007,Austria,1,I
Klebsiella pneumoniae|Carbapenems,2007,Belgium,0,I
Klebsiella pneumoniae|Carbapenems,2007,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2007,Cyprus,0,I
Klebsiella pneumoniae|Carbapenems,2007,Czechia,0,I
Klebsiella pneumoniae|Carbapenems,2007,Germany,0,I
Klebsiella pneumoniae|Carbapenems,2007,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2007,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2007,Greece,34,I
Klebsiella pneumoniae|Carbapenems,2007,Spain,0,I
Klebsiella pneumoniae|Carbapenems,2007,Finland,0,I
Klebsiella pneumoniae|Carbapenems,2007,France,0,I
Klebsiella pneumoniae|Carbapenems,2007,Croatia,0,I
Klebsiella pneumoniae|Carbapenems,2007,Hungary,0,I
Klebsiella pneumoniae|Carbapenems,2007,Ireland,1,I
Klebsiella pneumoniae|Carbapenems,2007,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2007,Italy,2,I
Klebsiella pneumoniae|Carbapenems,2007,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2007,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2007,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2007,Malta,0,I
Klebsiella pneumoniae|Carbapenems,2007,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2007,Norway,0,I
Klebsiella pneumoniae|Carbapenems,2007,Poland,1,I
Klebsiella pneumoniae|Carbapenems,2007,Portugal,0,I
Klebsiella pneumoniae|Carbapenems,2007,Romania,0,I
Klebsiella pneumoniae|Carbapenems,2007,Sweden,0,I
Klebsiella pneumoniae|Carbapenems,2007,Slovenia,1,I
Klebsiella pneumoniae|Carbapenems,2007,Slovakia,0,I
Klebsiella pneumoniae|Carbapenems,2007,United Kingdom,0,I
Klebsiella pneumoniae|Carbapenems,2008,Austria,0,I
Klebsiella pneumoniae|Carbapenems,2008,Belgium,0,I
Klebsiella pneumoniae|Carbapenems,2008,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2008,Cyprus,0,I
Klebsiella pneumoniae|Carbapenems,2008,Czechia,0,I
Klebsiella pneumoniae|Carbapenems,2008,Germany,0,I
Klebsiella pneumoniae|Carbapenems,2008,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2008,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2008,Greece,90,I
Klebsiella pneumoniae|Carbapenems,2008,Spain,0,I
Klebsiella pneumoniae|Carbapenems,2008,Finland,0,I
Klebsiella pneumoniae|Carbapenems,2008,France,1,I
Klebsiella pneumoniae|Carbapenems,2008,Croatia,0,I
Klebsiella pneumoniae|Carbapenems,2008,Hungary,0,I
Klebsiella pneumoniae|Carbapenems,2008,Ireland,0,I
Klebsiella pneumoniae|Carbapenems,2008,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2008,Italy,3,I
Klebsiella pneumoniae|Carbapenems,2008,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2008,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2008,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2008,Malta,0,I
Klebsiella pneumoniae|Carbapenems,2008,Netherlands,1,I
Klebsiella pneumoniae|Carbapenems,2008,Norway,0,I
Klebsiella pneumoniae|Carbapenems,2008,Poland,0,I
Klebsiella pneumoniae|Carbapenems,2008,Portugal,0,I
Klebsiella pneumoniae|Carbapenems,2008,Romania,0,I
Klebsiella pneumoniae|Carbapenems,2008,Sweden,1,I
Klebsiella pneumoniae|Carbapenems,2008,Slovenia,0,I
Klebsiella pneumoniae|Carbapenems,2008,Slovakia,0,I
Klebsiella pneumoniae|Carbapenems,2008,United Kingdom,0,I
Klebsiella pneumoniae|Carbapenems,2009,Austria,0,I
Klebsiella pneumoniae|Carbapenems,2009,Belgium,0,I
Klebsiella pneumoniae|Carbapenems,2009,Bulgaria,1,I
Klebsiella pneumoniae|Carbapenems,2009,Cyprus,1,I
Klebsiella pneumoniae|Carbapenems,2009,Czechia,0,I
Klebsiella pneumoniae|Carbapenems,2009,Germany,0,I
Klebsiella pneumoniae|Carbapenems,2009,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2009,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2009,Greece,131,I
Klebsiella pneumoniae|Carbapenems,2009,Spain,0,I
Klebsiella pneumoniae|Carbapenems,2009,Finland,1,I
Klebsiella pneumoniae|Carbapenems,2009,France,4,I
Klebsiella pneumoniae|Carbapenems,2009,Hungary,0,I
Klebsiella pneumoniae|Carbapenems,2009,Ireland,0,I
Klebsiella pneumoniae|Carbapenems,2009,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2009,Italy,0,I
Klebsiella pneumoniae|Carbapenems,2009,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2009,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2009,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2009,Malta,0,I
Klebsiella pneumoniae|Carbapenems,2009,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2009,Norway,2,I
Klebsiella pneumoniae|Carbapenems,2009,Poland,0,I
Klebsiella pneumoniae|Carbapenems,2009,Portugal,0,I
Klebsiella pneumoniae|Carbapenems,2009,Romania,0,I
Klebsiella pneumoniae|Carbapenems,2009,Sweden,0,I
Klebsiella pneumoniae|Carbapenems,2009,Slovenia,0,I
Klebsiella pneumoniae|Carbapenems,2009,United Kingdom,2,I
Klebsiella pneumoniae|Carbapenems,2010,Austria,0,I
Klebsiella pneumoniae|Carbapenems,2010,Belgium,0,I
Klebsiella pneumoniae|Carbapenems,2010,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2010,Cyprus,1,I
Klebsiella pneumoniae|Carbapenems,2010,Czechia,2,I
Klebsiella pneumoniae|Carbapenems,2010,Germany,1,I
Klebsiella pneumoniae|Carbapenems,2010,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2010,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2010,Greece,176,I
Klebsiella pneumoniae|Carbapenems,2010,Spain,0,I
Klebsiella pneumoniae|Carbapenems,2010,Finland,1,I
Klebsiella pneumoniae|Carbapenems,2010,France,3,I
Klebsiella pneumoniae|Carbapenems,2010,Croatia,13,I
Klebsiella pneumoniae|Carbapenems,2010,Hungary,2,I
Klebsiella pneumoniae|Carbapenems,2010,Ireland,0,I
Klebsiella pneumoniae|Carbapenems,2010,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2010,Italy,5,I
Klebsiella pneumoniae|Carbapenems,2010,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2010,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2010,Latvia,1,I
Klebsiella pneumoniae|Carbapenems,2010,Malta,0,I
Klebsiella pneumoniae|Carbapenems,2010,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2010,Norway,0,I
Klebsiella pneumoniae|Carbapenems,2010,Poland,0,I
Klebsiella pneumoniae|Carbapenems,2010,Portugal,1,I
Klebsiella pneumoniae|Carbapenems,2010,Romania,0,I
Klebsiella pneumoniae|Carbapenems,2010,Sweden,1,I
Klebsiella pneumoniae|Carbapenems,2010,Slovenia,0,I
Klebsiella pneumoniae|Carbapenems,2010,United Kingdom,2,I
Klebsiella pneumoniae|Carbapenems,2011,Austria,1,I
Klebsiella pneumoniae|Carbapenems,2011,Belgium,0,I
Klebsiella pneumoniae|Carbapenems,2011,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2011,Cyprus,1,I
Klebsiella pneumoniae|Carbapenems,2011,Czechia,5,I
Klebsiella pneumoniae|Carbapenems,2011,Germany,1,I
Klebsiella pneumoniae|Carbapenems,2011,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2011,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2011,Greece,43,I
Klebsiella pneumoniae|Carbapenems,2011,Spain,2,I
Klebsiella pneumoniae|Carbapenems,2011,Finland,1,I
Klebsiella pneumoniae|Carbapenems,2011,France,2,I
Klebsiella pneumoniae|Carbapenems,2011,Croatia,1,I
Klebsiella pneumoniae|Carbapenems,2011,Hungary,2,I
Klebsiella pneumoniae|Carbapenems,2011,Ireland,2,I
Klebsiella pneumoniae|Carbapenems,2011,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2011,Italy,18,I
Klebsiella pneumoniae|Carbapenems,2011,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2011,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2011,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2011,Malta,1,I
Klebsiella pneumoniae|Carbapenems,2011,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2011,Norway,1,I
Klebsiella pneumoniae|Carbapenems,2011,Poland,5,I
Klebsiella pneumoniae|Carbapenems,2011,Portugal,1,I
Klebsiella pneumoniae|Carbapenems,2011,Romania,0,I
Klebsiella pneumoniae|Carbapenems,2011,Sweden,0,I
Klebsiella pneumoniae|Carbapenems,2011,Slovenia,1,I
Klebsiella pneumoniae|Carbapenems,2011,Slovakia,0,I
Klebsiella pneumoniae|Carbapenems,2011,United Kingdom,1,I
Klebsiella pneumoniae|Carbapenems,2012,Austria,5,I
Klebsiella pneumoniae|Carbapenems,2012,Belgium,1,I
Klebsiella pneumoniae|Carbapenems,2012,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2012,Cyprus,0,I
Klebsiella pneumoniae|Carbapenems,2012,Czechia,5,I
Klebsiella pneumoniae|Carbapenems,2012,Germany,1,I
Klebsiella pneumoniae|Carbapenems,2012,Denmark,0,I
Klebsiella pneumoniae|Carbapenems,2012,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2012,Greece,28,I
Klebsiella pneumoniae|Carbapenems,2012,Spain,7,I
Klebsiella pneumoniae|Carbapenems,2012,Finland,0,I
Klebsiella pneumoniae|Carbapenems,2012,France,9,I
Klebsiella pneumoniae|Carbapenems,2012,Croatia,2,I
Klebsiella pneumoniae|Carbapenems,2012,Hungary,4,I
Klebsiella pneumoniae|Carbapenems,2012,Ireland,0,I
Klebsiella pneumoniae|Carbapenems,2012,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2012,Italy,19,I
Klebsiella pneumoniae|Carbapenems,2012,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2012,Luxembourg,1,I
Klebsiella pneumoniae|Carbapenems,2012,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2012,Malta,2,I
Klebsiella pneumoniae|Carbapenems,2012,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2012,Norway,0,I
Klebsiella pneumoniae|Carbapenems,2012,Poland,4,I
Klebsiella pneumoniae|Carbapenems,2012,Portugal,1,I
Klebsiella pneumoniae|Carbapenems,2012,Romania,1,I
Klebsiella pneumoniae|Carbapenems,2012,Sweden,0,I
Klebsiella pneumoniae|Carbapenems,2012,Slovenia,1,I
Klebsiella pneumoniae|Carbapenems,2012,Slovakia,2,I
Klebsiella pneumoniae|Carbapenems,2012,United Kingdom,4,I
Klebsiella pneumoniae|Carbapenems,2013,Austria,2,I
Klebsiella pneumoniae|Carbapenems,2013,Belgium,4,I
Klebsiella pneumoniae|Carbapenems,2013,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2013,Cyprus,1,I
Klebsiella pneumoniae|Carbapenems,2013,Czechia,6,I
Klebsiella pneumoniae|Carbapenems,2013,Germany,1,I
Klebsiella pneumoniae|Carbapenems,2013,Denmark,1,I
Klebsiella pneumoniae|Carbapenems,2013,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2013,Greece,12,I
Klebsiella pneumoniae|Carbapenems,2013,Spain,9,I
Klebsiella pneumoniae|Carbapenems,2013,Finland,0,I
Klebsiella pneumoniae|Carbapenems,2013,France,9,I
Klebsiella pneumoniae|Carbapenems,2013,Croatia,3,I
Klebsiella pneumoniae|Carbapenems,2013,Hungary,1,I
Klebsiella pneumoniae|Carbapenems,2013,Ireland,1,I
Klebsiella pneumoniae|Carbapenems,2013,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2013,Italy,24,I
Klebsiella pneumoniae|Carbapenems,2013,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2013,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2013,Latvia,0,I
Klebsiella pneumoniae|Carbapenems,2013,Malta,6,I
Klebsiella pneumoniae|Carbapenems,2013,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2013,Norway,0,I
Klebsiella pneumoniae|Carbapenems,2013,Poland,1,I
Klebsiella pneumoniae|Carbapenems,2013,Portugal,6,I
Klebsiella pneumoniae|Carbapenems,2013,Romania,4,I
Klebsiella pneumoniae|Carbapenems,2013,Sweden,0,I
Klebsiella pneumoniae|Carbapenems,2013,Slovenia,0,I
Klebsiella pneumoniae|Carbapenems,2013,Slovakia,0,I
Klebsiella pneumoniae|Carbapenems,2013,United Kingdom,2,I
Klebsiella pneumoniae|Carbapenems,2014,Austria,1,I
Klebsiella pneumoniae|Carbapenems,2014,Belgium,2,I
Klebsiella pneumoniae|Carbapenems,2014,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2014,Cyprus,1,I
Klebsiella pneumoniae|Carbapenems,2014,Czechia,5,I
Klebsiella pneumoniae|Carbapenems,2014,Germany,4,I
Klebsiella pneumoniae|Carbapenems,2014,Denmark,1,I
Klebsiella pneumoniae|Carbapenems,2014,Estonia,1,I
Klebsiella pneumoniae|Carbapenems,2014,Greece,4,I
Klebsiella pneumoniae|Carbapenems,2014,Spain,12,I
Klebsiella pneumoniae|Carbapenems,2014,Finland,1,I
Klebsiella pneumoniae|Carbapenems,2014,France,10,I
Klebsiella pneumoniae|Carbapenems,2014,Croatia,4,I
Klebsiella pneumoniae|Carbapenems,2014,Hungary,3,I
Klebsiella pneumoniae|Carbapenems,2014,Ireland,0,I
Klebsiella pneumoniae|Carbapenems,2014,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2014,Italy,44,I
Klebsiella pneumoniae|Carbapenems,2014,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2014,Luxembourg,1,I
Klebsiella pneumoniae|Carbapenems,2014,Latvia,1,I
Klebsiella pneumoniae|Carbapenems,2014,Malta,3,I
Klebsiella pneumoniae|Carbapenems,2014,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2014,Norway,1,I
Klebsiella pneumoniae|Carbapenems,2014,Poland,2,I
Klebsiella pneumoniae|Carbapenems,2014,Portugal,6,I
Klebsiella pneumoniae|Carbapenems,2014,Romania,8,I
Klebsiella pneumoniae|Carbapenems,2014,Sweden,2,I
Klebsiella pneumoniae|Carbapenems,2014,Slovenia,1,I
Klebsiella pneumoniae|Carbapenems,2014,Slovakia,2,I
Klebsiella pneumoniae|Carbapenems,2014,United Kingdom,3,I
Klebsiella pneumoniae|Carbapenems,2015,Austria,3,I
Klebsiella pneumoniae|Carbapenems,2015,Belgium,1,I
Klebsiella pneumoniae|Carbapenems,2015,Bulgaria,0,I
Klebsiella pneumoniae|Carbapenems,2015,Cyprus,0,I
Klebsiella pneumoniae|Carbapenems,2015,Czechia,6,I
Klebsiella pneumoniae|Carbapenems,2015,Germany,1,I
Klebsiella pneumoniae|Carbapenems,2015,Denmark,2,I
Klebsiella pneumoniae|Carbapenems,2015,Estonia,0,I
Klebsiella pneumoniae|Carbapenems,2015,Greece,9,I
Klebsiella pneumoniae|Carbapenems,2015,Spain,21,I
Klebsiella pneumoniae|Carbapenems,2015,Finland,0,I
Klebsiella pneumoniae|Carbapenems,2015,France,9,I
Klebsiella pneumoniae|Carbapenems,2015,Croatia,7,I
Klebsiella pneumoniae|Carbapenems,2015,Hungary,5,I
Klebsiella pneumoniae|Carbapenems,2015,Ireland,1,I
Klebsiella pneumoniae|Carbapenems,2015,Iceland,0,I
Klebsiella pneumoniae|Carbapenems,2015,Italy,43,I
Klebsiella pneumoniae|Carbapenems,2015,Lithuania,0,I
Klebsiella pneumoniae|Carbapenems,2015,Luxembourg,0,I
Klebsiella pneumoniae|Carbapenems,2015,Latvia,2,I
Klebsiella pneumoniae|Carbapenems,2015,Malta,2,I
Klebsiella pneumoniae|Carbapenems,2015,Netherlands,0,I
Klebsiella pneumoniae|Carbapenems,2015,Norway,0,I
Klebsiella pneumoniae|Carbapenems,2015,Poland,5,I
Klebsiella pneumoniae|Carbapenems,2015,Portugal,8,I
Klebsiella pneumoniae|Carbapenems,2015,Romania,26,I
Klebsiella pneumoniae|Carbapenems,2015,Sweden,1,I
Klebsiella pneumoniae|Carbapenems,2015,Slovenia,1,I
Klebsiella pneumoniae|Carbapenems,2015,Slovakia,4,I
Klebsiella pneumoniae|Carbapenems,2015,United Kingdom,0,I
Klebsiella pneumoniae|Carbapenems,2016,Austria,3,I
Klebsiella pneumoniae|Carbapenems,2016,Belgium,4,I
Klebsiella pneumoniae|Carbapenems,2016,Bulgaria,4,I
Klebsiella pneumoniae|Carbapenems,2016,Cyprus,1,I
Klebsiella pneumoniae|Carbapenems,2016,Czechia,4,I
Klebsiella pneumoniae|Carbapenems,2016,Germany,5,I
Klebsiella pneumoniae|Carbapenems,2016,Denmark,1,I
Klebsiella pneumoniae|Carbapenems,2016,Estonia,1,I
Klebsiella pneumoniae|Carbapenems,2016,Greece,3,I
Klebsiella pneumoniae|Carbapenems,2016,Spain,29,I
Klebsiella pneumoniae|Carbapenems,2016,Finland,0,I
